date,FA1 黃秋葵,FB0 花椰菜 其他,FB1 花椰菜 青梗,FC1 胡瓜 黑刺,FD0 花胡瓜 其他,FD1 花胡瓜,FE1 冬瓜 白皮,FF0 絲瓜 其他,FF1 絲瓜,FF2 絲瓜 角瓜,FF4 絲瓜 長絲瓜,FG0 苦瓜 其他,FG1 苦瓜 白大米,FG2 苦瓜 青大米,FG3 苦瓜 山苦瓜,FG4 苦瓜 翠綠,FH0 扁蒲 其他,FH1 扁蒲 長形,FH3 扁蒲 花蒲,FH4 扁蒲 梨子蒲,FI0 茄子 其他,FI1 茄子 胭脂茄,FI2 茄子 麻荸茄,FI3 茄子 日本種,FJ1 番茄 黑柿,FJ3 番茄 牛番茄,FK0 甜椒 其他,FK3 甜椒 新香,FK4 甜椒 彩色種,FK5 甜椒 青椒,FK6 甜椒 水果彩椒,FL1 豌豆 白花,FL2 豌豆 紅花,FL5 豌豆 豌豆苗,FL6 豌豆 甜豌豆,FL9 豌豆 進口,FM1 菜豆 白色,FM2 菜豆 青色,FM3 菜豆 紅色,FN1 敏豆 白豆,FN3 敏豆 粉豆,FN4 敏豆 翼豆,FN5 敏豆 醜豆,FP1 萊豆 豆莢,FP2 萊豆 豆仁,FP3 鵲豆 肉豆,FQ1 毛豆 豆莢,FQ2 毛豆 豆仁,FR1 青花苔,FR2 青花苔 青花筍,FR9 青花苔 進口
2022-10-01,58.1,,43.7,38.0,60.0,51.2,7.6,15.9,11.2,,,,42.8,31.7,,29.5,,,13.6,18.0,30.0,,34.4,,,49.1,107.3,44.3,34.0,47.5,,,,,,,33.8,56.8,58.7,105.9,,14.5,103.7,,,,,142.5,59.0,55.0,84.9
2022-10-02,52.5,,45.8,34.6,60.0,54.7,7.8,14.5,11.1,,3.0,42.0,41.8,28.8,56.0,30.7,,,13.3,17.1,24.8,,29.3,19.2,,54.3,106.3,46.0,28.6,78.9,,,,,,,,50.5,54.2,98.9,,19.4,98.8,,,,,151.2,92.3,,86.6
2022-10-04,50.9,,41.5,27.8,65.3,56.4,6.4,15.7,12.6,,12.0,,42.4,26.9,53.3,30.6,,13.0,13.8,17.0,24.9,10.0,28.8,,,59.4,124.2,,37.4,70.9,,,,,,203.1,30.0,52.2,50.0,81.9,60.0,15.0,102.1,,,,,154.9,49.9,51.0,95.0
2022-10-05,46.5,,39.9,31.1,72.2,59.6,9.1,14.3,10.5,,,,36.0,22.6,,21.6,,10.7,12.2,15.0,20.0,20.0,30.6,15.0,,64.6,108.3,50.0,45.2,74.9,,,,,,130.3,,56.6,46.3,87.3,,19.0,91.3,,,,,150.0,48.5,,89.8
2022-10-06,42.7,,39.5,27.3,50.0,56.6,7.9,13.0,10.3,,,,40.9,24.6,56.0,23.1,,,12.4,14.5,26.7,,24.7,,,57.3,97.0,,41.0,75.8,,,,,,113.8,20.0,62.9,41.3,76.2,,20.9,74.5,,,,,127.7,41.9,50.0,85.3
2022-10-07,44.1,,43.1,22.8,54.0,53.6,7.3,14.9,12.0,,,,42.1,27.2,48.0,26.2,,10.0,12.2,14.8,23.1,,22.3,10.0,,52.2,53.3,,43.8,55.5,,,,,,,,70.6,41.3,81.9,,26.5,73.9,,,,,150.8,47.2,50.0,83.2
2022-10-08,45.5,,41.8,24.3,44.4,52.7,6.0,17.0,13.1,,,38.8,40.6,24.8,50.0,25.6,,,13.5,14.9,23.4,,28.9,30.0,,46.1,100.7,,36.3,50.3,,,,,,142.1,,62.5,54.9,80.0,,25.6,82.6,,,,,151.8,46.5,,85.0
2022-10-09,43.3,,37.1,25.3,59.0,52.7,6.4,16.1,14.7,,,,34.0,24.5,45.0,19.8,,12.0,11.5,13.7,27.3,13.0,21.2,18.0,,47.7,98.5,,27.5,60.8,,,,,,62.6,,65.5,60.8,84.0,,29.8,81.7,,,,,158.1,42.8,,86.4
2022-10-11,44.5,,34.8,22.7,52.2,51.6,6.0,15.8,13.9,,,,40.4,26.6,56.5,22.4,,,10.6,15.2,23.3,,23.2,,,56.7,111.5,49.0,42.8,36.1,,,,,,31.3,,77.9,53.5,82.4,,20.5,84.1,,,,,159.5,36.2,,83.4
2022-10-12,48.8,,33.2,23.2,54.3,53.3,5.1,15.5,12.9,,,,38.5,23.8,60.3,22.3,,10.0,10.6,13.3,35.3,,19.8,20.0,,54.8,100.0,,62.6,69.7,,,,,,53.8,,84.9,45.0,75.5,,25.2,73.1,,,,,155.0,44.0,,79.5
2022-10-13,42.3,,34.7,26.9,65.2,56.5,7.3,15.6,13.7,,,,39.5,27.7,55.9,25.2,,,11.5,16.1,28.2,15.0,18.4,25.0,,51.4,86.8,33.9,60.5,77.3,,,,,,,,86.1,45.0,89.1,,25.9,85.0,,,,,155.4,47.4,,79.2
2022-10-14,56.8,,32.6,28.7,65.0,57.1,6.2,18.0,12.2,,,,40.1,28.0,42.5,28.0,,10.0,10.3,14.3,21.5,,18.7,28.6,,47.8,109.8,,49.2,71.4,,,,,,,,71.9,40.0,103.5,,30.2,101.0,,,,,155.0,71.0,,81.4
2022-10-15,59.9,,34.4,26.9,63.8,59.2,5.4,19.8,14.5,,,32.6,40.7,25.6,50.0,24.6,,,14.1,17.6,22.9,,20.7,,,47.1,103.9,34.2,36.9,61.5,,,,,,,,86.1,33.2,131.5,,26.9,75.5,,,,,148.0,62.3,,71.5
2022-10-16,52.7,,31.8,25.3,50.3,51.5,5.1,14.8,15.0,,,,40.5,23.4,,18.2,,12.0,14.2,16.5,31.7,10.3,16.9,9.1,12.0,43.9,66.5,31.0,44.0,55.8,,,,,,,,65.4,40.7,108.8,,17.9,75.0,,,,34.0,152.8,57.5,,68.0
2022-10-18,48.0,,35.1,25.6,48.6,48.9,6.7,14.6,14.9,,,20.0,39.9,27.8,48.2,23.3,,12.0,13.4,14.7,32.0,,24.3,20.0,75.7,46.8,109.0,,42.4,50.0,,,,,,98.6,,66.6,47.3,100.2,,22.7,70.4,,,,,96.9,61.1,,73.2
2022-10-19,57.6,,37.6,28.2,47.7,48.2,6.8,15.6,17.6,,,,44.1,28.3,50.0,23.8,,10.0,13.7,17.1,24.0,15.1,21.7,23.0,79.7,56.9,81.7,,43.5,62.9,,,30.0,,,92.3,,73.7,50.0,114.2,,22.0,74.4,,,,52.0,153.1,71.4,,94.2
2022-10-21,51.6,,40.8,31.4,55.2,55.8,8.6,23.7,18.1,,,29.6,39.4,25.7,,17.8,,10.0,12.6,16.0,22.7,,19.2,21.0,86.4,64.4,119.7,29.4,64.2,52.5,,,80.0,,,,,71.3,50.0,125.3,,30.3,98.2,,100.0,,37.5,129.7,60.4,,92.7
2022-10-22,53.8,,49.2,30.7,52.6,66.7,8.1,29.9,21.0,,,,49.3,29.7,50.0,30.5,,,16.4,18.0,25.0,12.0,18.6,,71.6,67.2,128.7,33.9,47.8,52.5,,,,,,,,72.9,30.0,127.4,,29.2,108.8,,,,36.5,154.5,57.3,95.0,87.8
2022-10-23,47.8,,45.8,31.2,53.3,68.5,5.8,27.1,20.7,,,,51.1,31.0,65.7,32.4,,15.0,16.1,17.6,,,20.6,15.1,75.3,80.6,108.5,45.5,53.2,59.2,,,140.0,,,170.0,,87.0,,140.0,,25.8,106.3,,,,41.8,158.1,55.6,90.0,82.7
2022-10-25,62.9,,43.6,27.0,52.3,63.0,5.6,24.1,20.9,,,,48.5,28.9,,27.0,,13.0,15.8,17.6,35.6,18.9,24.1,10.0,67.4,78.7,122.4,34.7,54.2,58.6,,,117.0,,118.5,71.3,,77.1,27.0,132.1,,20.7,115.3,,,,52.0,153.8,56.8,66.4,80.1
2022-10-26,63.5,,42.3,31.8,60.8,67.9,6.8,24.7,22.9,,,,59.7,31.6,52.7,27.1,,13.0,15.9,19.8,40.0,,28.0,10.7,65.6,67.3,123.2,,44.6,63.9,,,100.0,,,150.0,,75.2,22.0,108.1,,26.1,87.4,,70.0,,,141.6,51.4,56.3,88.8
2022-10-27,58.0,,46.4,28.4,61.2,69.3,7.5,24.0,22.7,,,,60.9,33.6,47.9,28.0,,11.0,14.9,21.1,43.4,26.0,28.2,15.0,56.8,71.2,126.1,35.3,68.3,57.6,,,,,,85.0,,77.7,70.0,119.5,,26.3,101.5,,,,48.0,152.2,51.2,66.0,88.6
2022-10-28,65.4,,47.1,30.4,61.3,70.8,6.4,28.2,26.4,,,,61.9,36.7,,46.0,,,20.7,26.7,40.0,24.0,27.0,18.0,42.4,64.7,97.7,32.2,63.9,44.2,,,68.0,,,94.2,,87.7,63.5,117.7,,23.5,114.4,,,,,144.7,53.9,60.0,87.8
2022-10-29,61.8,,44.4,29.4,63.0,65.1,5.2,29.4,27.0,,,,58.0,37.0,53.7,33.5,,18.0,21.7,25.7,,20.0,29.1,15.8,36.2,61.2,134.9,32.8,64.4,50.6,,,62.0,,,,,105.1,65.0,127.3,,25.4,109.7,,,,40.0,140.0,56.0,,83.7
2022-10-30,51.9,,38.6,32.1,64.0,59.7,5.3,29.4,31.6,,,,54.3,28.8,,26.2,,21.0,25.8,30.0,25.0,,29.3,14.0,41.6,61.1,118.2,26.2,66.7,54.3,,,78.8,,,,,98.6,55.0,106.0,,26.2,83.7,,,,28.2,147.9,46.8,,71.4
2022-11-01,52.4,,31.6,31.0,58.1,59.8,5.0,23.2,30.2,,,,45.4,36.1,,27.1,,16.0,22.8,24.9,54.0,21.0,29.1,13.0,42.4,55.9,165.0,20.0,60.3,51.4,,,100.0,,142.0,130.0,42.8,72.0,25.0,111.7,,20.6,96.1,30.0,,,17.1,154.0,32.7,77.7,62.0
2022-11-02,57.2,,32.5,24.0,47.8,65.1,6.7,29.4,30.9,,,,43.7,28.8,47.5,,,15.0,23.5,24.4,22.6,,32.9,15.8,41.4,64.9,118.7,42.1,65.3,51.0,,,55.0,,,159.7,,62.4,30.0,86.7,,16.4,81.7,,40.0,,41.0,142.4,36.1,51.1,63.5
2022-11-03,55.7,,32.9,26.2,45.0,51.5,8.1,28.2,24.7,,,,38.9,32.5,,26.5,,,19.6,22.1,32.9,,29.0,16.9,45.8,48.7,130.0,45.7,62.8,44.0,,,,,,142.5,40.0,68.4,20.0,82.7,,16.5,75.1,,,,50.0,142.3,31.3,,59.0
2022-11-04,58.7,,32.1,28.3,46.9,49.7,5.3,34.4,26.7,,,,40.3,29.0,,33.0,,15.0,19.4,23.3,,,31.3,,38.3,51.7,79.8,37.3,58.4,47.8,,,95.4,,113.8,125.0,,59.8,20.0,82.8,,18.0,79.1,,,,41.0,143.9,36.8,55.0,65.5
2022-11-05,58.5,,32.8,24.9,51.3,50.1,6.3,36.4,25.8,,,30.0,54.4,36.0,45.0,46.1,,,19.3,22.5,31.1,,27.7,10.3,55.9,52.0,130.3,41.2,63.7,40.8,,,97.0,,92.0,161.2,,75.8,40.0,92.6,,29.0,87.2,,,,29.3,147.2,43.6,48.5,78.6
2022-11-06,57.7,,35.0,26.3,46.6,54.2,4.5,30.6,26.2,,,50.0,49.3,36.2,45.0,41.2,,17.0,19.1,23.7,38.4,20.0,32.4,10.0,59.7,56.3,126.3,53.0,63.7,41.2,,,95.0,,79.9,138.7,,68.8,35.0,86.4,45.0,16.5,68.3,,75.0,,31.9,138.4,46.3,52.0,89.5
2022-11-08,57.4,,34.5,26.8,45.3,51.5,6.6,30.9,33.0,,,,50.5,35.7,,31.9,,15.0,18.6,21.4,41.1,,34.1,14.0,41.5,51.8,125.0,44.4,59.4,46.8,,,98.3,130.0,74.8,143.1,,67.0,20.0,78.6,,15.9,66.8,,,,35.0,130.3,36.7,50.0,79.4
2022-11-09,42.5,,32.5,22.4,43.3,47.2,9.3,29.3,30.8,,,,43.7,29.8,50.0,34.0,,,16.6,21.5,32.2,,33.1,12.0,43.1,45.2,121.0,22.4,66.3,37.9,,,80.0,,71.7,125.9,,59.4,25.0,75.2,35.0,23.7,60.8,,,,44.0,141.7,32.7,,69.0
2022-11-10,40.0,,33.7,20.0,42.7,45.6,5.4,28.0,28.5,,,,38.5,28.6,,29.5,,18.4,15.5,20.5,51.2,,31.5,10.0,41.1,34.8,135.0,41.5,76.8,33.0,,,90.0,,65.4,120.5,,52.9,25.0,66.1,35.0,29.0,62.8,,,,24.7,126.1,29.4,85.0,79.2
2022-11-11,36.9,,31.5,21.5,36.9,41.0,6.4,28.6,24.0,,,,40.7,28.0,,26.5,,10.0,16.6,16.8,37.7,,30.7,18.0,34.9,32.8,115.0,35.4,52.4,34.2,,,67.9,,48.2,109.7,,47.6,17.9,66.4,55.0,29.4,61.7,,,,20.0,139.7,29.7,54.2,69.9
2022-11-12,41.8,,32.6,22.8,44.2,40.4,5.6,24.6,25.8,,,,43.5,31.4,,23.0,,10.0,16.5,17.5,33.8,,27.7,15.0,41.8,33.9,114.7,40.1,52.8,35.9,,,60.9,,63.2,111.4,,50.1,17.0,67.8,25.0,24.9,63.1,50.0,,,24.0,130.7,25.5,39.5,63.0
2022-11-13,37.8,,30.7,24.3,47.5,40.2,6.4,24.6,28.4,,,,39.3,28.8,,32.1,,13.0,17.0,15.7,28.2,,29.9,16.3,30.0,32.8,103.9,22.1,41.7,31.3,,20.0,60.0,,62.7,89.2,60.0,46.0,20.0,59.1,41.3,24.0,55.5,,,,,119.1,28.8,,63.0
2022-11-15,16.7,,19.5,22.1,40.6,43.5,6.6,25.3,28.5,,,,38.0,31.2,,19.2,,10.0,14.2,13.5,37.3,,30.9,22.0,33.1,30.2,100.7,20.9,38.0,33.0,,,42.3,,39.3,105.0,,46.2,,61.6,76.0,17.4,56.8,90.0,,,,117.3,27.2,83.0,60.3
2022-11-16,27.9,,17.2,22.9,40.5,38.0,5.0,22.2,24.1,,,,40.8,28.2,,25.0,,10.0,13.0,17.1,36.7,,28.8,15.7,25.6,31.8,65.5,38.4,31.7,39.1,,,33.3,,33.6,96.2,,48.2,,50.8,25.0,17.6,45.5,,,,,109.4,27.2,,63.4
2022-11-18,20.9,,18.0,22.0,36.6,35.2,7.2,28.1,27.0,,,,40.1,26.6,,26.6,,12.0,11.3,16.0,29.1,19.4,30.9,20.7,36.7,29.9,51.1,18.7,31.2,34.0,,,52.2,,44.4,69.2,,50.9,,60.4,30.0,15.9,43.1,,105.0,,,129.2,26.8,45.5,65.0
2022-11-19,18.8,,20.8,19.9,39.1,35.4,7.4,26.9,23.8,,,,33.7,29.0,,,,12.0,13.9,17.4,,,23.5,10.0,34.1,31.7,91.8,46.8,50.2,38.1,,,47.4,,61.6,116.0,,58.1,,55.2,30.0,23.2,44.7,,,,,131.7,31.1,36.5,78.0
2022-11-20,28.4,,20.9,13.5,38.8,41.4,4.2,26.3,22.6,,,,40.3,27.8,,,,8.0,13.4,17.3,39.5,22.0,24.3,14.6,36.3,38.0,79.7,33.4,41.7,40.0,,,30.4,,30.4,110.3,,52.3,,62.5,40.8,17.5,42.0,,,,48.0,108.1,35.1,17.0,
2022-11-22,36.3,,19.8,15.1,40.0,40.6,7.7,25.5,28.8,,,,42.9,26.7,,,,5.0,8.8,13.9,29.2,18.0,23.4,15.0,34.8,37.0,91.6,37.6,50.2,38.8,,,24.1,50.0,28.6,86.2,,50.5,,49.3,30.8,17.0,37.0,110.0,,,37.0,105.1,28.5,,15.0
2022-11-23,18.5,,17.2,15.5,36.0,35.0,9.5,23.1,30.0,,,,28.2,22.2,,,,5.0,6.5,11.6,25.6,10.7,20.6,12.5,26.4,27.1,95.5,15.6,29.6,32.6,,,16.3,,29.8,69.8,,43.0,,53.5,40.0,17.7,42.1,67.8,,,30.5,111.8,27.3,18.1,
2022-11-24,22.2,,16.1,18.6,28.5,32.9,7.0,20.5,32.7,,,,41.7,28.5,,,,,8.9,15.2,23.9,,17.9,12.0,25.9,25.4,56.3,19.1,34.8,25.6,,,50.0,,32.2,84.1,,53.5,,47.3,,12.1,39.1,85.0,95.8,15.0,20.0,105.2,23.2,21.0,
2022-11-25,38.6,,16.6,14.1,31.6,32.0,6.7,10.0,20.0,,,,39.9,25.2,,30.0,,3.0,12.1,12.7,27.4,10.0,14.7,18.0,26.8,29.0,87.4,28.0,31.2,29.1,,,20.3,,23.9,73.3,,47.3,,44.9,,8.7,35.3,102.0,100.0,,35.0,94.1,21.2,23.5,
2022-11-26,46.8,,22.9,18.4,54.0,42.3,5.4,24.0,32.9,,,,43.2,28.8,,32.0,,,11.1,18.5,25.0,11.9,22.3,15.0,37.9,33.4,64.3,31.5,52.8,32.9,,,50.0,46.0,38.8,103.8,,48.4,,55.3,20.0,26.0,37.9,96.1,75.0,,35.0,111.2,27.3,9.0,
2022-11-27,57.0,,24.9,21.2,70.0,51.3,8.9,25.0,31.8,,,,45.9,32.9,,37.0,,,16.4,21.7,30.0,,25.0,14.5,40.3,34.6,61.8,44.1,25.0,31.9,,,,,93.5,77.9,,74.4,,71.0,30.0,30.0,48.8,83.9,80.0,,38.0,108.0,35.5,,
2022-11-29,22.2,,23.3,22.2,50.6,52.0,11.8,,24.2,,,,46.8,35.5,,,,,15.1,20.0,31.6,,26.8,14.4,34.2,33.9,95.2,44.6,40.5,35.5,,,39.9,45.0,39.4,113.8,,57.5,,55.6,42.5,22.9,50.4,63.3,75.0,,35.4,115.9,32.8,21.8,
2022-11-30,33.3,,29.8,22.7,59.0,45.9,8.7,28.0,24.0,,,,51.0,28.9,,23.0,,,15.2,22.5,28.1,,23.0,15.0,35.4,31.8,108.8,29.3,41.9,28.6,,,,36.5,49.5,97.3,,60.8,,72.9,,19.6,51.8,99.0,,,38.8,97.8,36.0,,
2022-12-01,58.8,,32.7,33.5,46.5,46.2,9.4,,31.8,,,,45.4,31.9,,,,,16.5,20.6,25.7,13.6,22.2,16.7,31.6,25.2,94.7,27.8,42.2,27.3,,,,,49.7,,,53.5,,69.4,,17.4,47.3,68.6,80.0,,30.0,93.0,26.6,15.0,
2022-12-02,48.3,60.0,38.1,32.0,53.3,47.9,9.6,25.0,37.3,,,,50.8,37.2,,40.0,,,18.2,19.4,25.1,,23.9,20.0,32.6,30.6,83.3,44.0,39.6,33.2,,30.0,75.5,,82.7,,,61.1,,79.2,45.0,26.6,51.5,78.2,80.0,,30.0,102.4,38.1,,
2022-12-03,35.5,,36.7,33.1,60.4,56.6,8.0,,30.6,,,,40.2,29.0,,,,,19.6,22.9,25.0,,25.0,16.8,32.2,25.9,87.4,40.0,40.5,25.1,,,,,69.7,100.0,,65.3,,65.9,,15.4,44.4,64.5,129.7,,36.3,98.2,30.7,,
2022-12-04,50.4,62.0,36.8,29.9,68.1,59.3,17.1,19.0,34.8,,,,48.7,33.5,,,,,17.1,22.6,30.3,12.0,25.3,14.4,25.8,24.1,99.9,61.0,32.0,27.7,,,65.0,,83.3,,,76.3,,67.8,31.3,20.3,45.8,,130.0,,31.4,101.0,34.8,20.0,
2022-12-06,34.6,,33.8,27.7,55.0,57.1,12.9,23.5,37.4,,,,41.5,33.9,10.0,40.0,,,17.7,23.3,30.8,,27.5,13.9,31.4,24.4,100.8,43.1,34.8,34.5,,,84.6,,84.1,,32.0,73.0,,78.4,,17.5,50.6,74.3,102.1,,32.5,105.3,44.7,70.0,
2022-12-07,32.9,,35.6,28.9,61.5,62.0,10.7,,37.8,,,,38.9,28.8,,,,,19.3,25.1,26.4,20.0,27.4,13.3,33.1,23.8,92.6,40.9,37.2,33.1,,,70.0,,88.0,,,71.4,,91.9,32.0,16.0,50.2,64.5,121.1,,27.9,100.3,43.0,,
2022-12-08,77.0,40.0,40.4,32.5,60.0,61.0,12.3,,45.6,,,,46.7,37.4,,,,,23.8,27.5,24.9,19.6,26.3,15.0,28.7,27.1,83.6,54.9,40.9,34.1,,,,,90.6,,,77.0,,99.4,,16.0,65.2,48.4,100.0,,35.0,108.8,49.9,,
2022-12-09,27.4,,40.9,31.3,75.0,71.4,10.0,22.0,42.5,,,,40.0,30.9,,30.0,,,25.5,26.6,33.4,,27.1,21.0,27.4,22.9,98.2,50.0,42.0,26.0,,,92.9,,112.7,,,110.0,,112.4,,18.6,72.2,,133.2,,35.0,105.3,60.1,25.0,
2022-12-10,36.0,,40.8,38.9,72.5,74.9,15.2,,54.5,,,,51.4,36.3,,42.0,,,28.1,30.0,30.5,,28.7,17.1,28.1,24.4,100.2,37.3,48.1,27.9,,,120.3,48.0,94.2,,,88.5,,119.0,,13.8,74.9,78.9,136.9,,38.0,105.3,59.3,15.0,
2022-12-11,64.8,45.0,38.2,40.9,65.9,62.7,12.0,25.0,46.2,,,,52.6,30.1,,,,,30.9,28.2,33.4,,26.4,16.1,20.4,20.3,81.3,55.4,42.7,27.7,,,140.0,,108.5,,,,,112.4,85.0,12.4,65.4,58.4,123.2,,32.5,103.1,50.5,10.6,
2022-12-13,39.7,38.0,37.7,35.5,40.0,60.9,12.3,25.0,50.7,,,,44.7,39.5,,58.0,,,28.4,29.8,25.3,22.5,30.3,16.3,29.5,19.9,83.8,46.9,37.7,37.8,,,115.7,,101.7,,,86.8,,115.2,40.0,17.1,85.1,56.3,133.3,,45.5,111.1,50.1,,
2022-12-14,29.8,,45.5,37.4,50.0,55.4,15.5,,50.3,,,,46.8,43.8,,55.0,,,30.4,33.7,51.1,,32.4,19.0,36.4,23.0,106.0,46.9,44.3,33.6,,,157.2,,109.1,,,105.0,,126.2,63.6,28.0,84.7,69.8,137.0,,35.0,121.4,55.3,50.0,
2022-12-16,49.2,36.0,42.7,35.8,40.7,53.3,15.3,,47.9,,,,45.6,41.2,,45.0,,,27.6,31.5,23.9,27.2,30.9,18.2,32.6,23.0,88.4,37.5,47.8,34.7,,,151.1,38.0,125.1,,,75.7,,114.1,,25.0,75.5,67.4,147.1,,56.3,113.1,48.3,,
2022-12-17,48.6,,45.4,46.3,,61.2,15.5,,55.0,,,,42.8,38.4,,46.0,,,29.4,31.5,52.8,17.7,25.4,20.9,32.1,22.6,100.8,48.3,48.3,32.9,,,190.6,38.0,161.1,,,60.0,,123.1,,20.7,83.1,70.0,125.8,,35.0,109.7,56.9,92.0,
2022-12-18,63.6,49.2,43.0,44.0,47.9,64.0,16.1,,46.7,,,,47.6,37.9,,70.0,,,32.7,34.6,40.0,,25.0,19.3,32.7,22.7,96.4,37.9,55.6,36.6,,,184.3,30.0,163.1,,,50.0,,113.1,,30.0,72.7,70.0,140.5,,41.0,119.2,64.8,42.5,
2022-12-20,107.3,62.0,44.2,41.0,30.0,75.8,15.2,,48.4,,,,50.3,38.5,,60.8,,,32.4,35.6,38.1,,29.0,17.9,39.9,29.4,105.7,39.7,55.3,35.6,,,181.7,,177.3,,,,,109.5,,30.1,81.6,83.0,192.7,,38.0,120.6,62.4,51.2,
2022-12-21,113.7,35.0,49.0,45.6,70.7,89.0,21.8,,67.0,,,,60.2,50.6,,55.0,,,30.1,35.7,52.0,,27.2,20.0,38.1,27.8,111.2,51.7,55.0,38.0,,143.5,161.1,,146.0,,,104.5,,123.2,,32.0,95.1,62.8,167.1,,35.0,126.3,70.5,30.6,
2022-12-22,96.2,53.2,48.4,51.2,51.0,78.7,25.2,,66.5,,,,53.9,53.2,,66.5,,,29.8,37.2,33.0,18.0,30.6,23.0,48.4,30.4,101.4,39.3,57.8,41.3,,,138.6,,151.6,18.0,,,,116.4,,36.4,73.3,70.0,163.1,,37.0,123.5,64.1,64.8,
2022-12-23,45.0,,44.7,44.0,,83.1,21.4,,59.1,,,,65.9,66.8,,,,,29.7,35.7,45.0,30.9,36.5,21.0,49.8,38.8,118.8,,62.3,48.5,,100.0,211.4,,166.0,,,,,113.4,,23.0,94.6,66.5,168.3,,38.0,131.9,64.8,,
2022-12-24,119.3,,49.1,47.8,,81.6,21.7,,58.4,,,,58.8,55.4,,47.0,,,35.2,39.9,,,38.3,28.0,55.6,35.6,105.6,,55.2,43.4,,155.0,168.4,,149.8,,,85.0,,151.8,,24.4,88.0,81.2,145.6,,42.0,126.3,65.9,,
2022-12-25,122.6,,49.3,43.9,65.0,90.1,20.0,,54.8,,,,66.0,57.3,,,,,42.1,43.0,90.0,,43.3,20.0,47.3,42.8,125.0,58.8,51.6,48.6,,,164.3,,160.3,,,,,154.4,,32.0,94.3,91.0,151.5,,45.0,128.0,62.0,,
2022-12-27,100.6,,46.1,45.1,,92.5,20.2,,53.3,,,,54.9,53.3,,,,,33.8,35.8,36.6,,44.5,,52.2,51.0,111.9,48.2,70.9,43.8,,110.0,181.6,30.8,168.2,120.0,,,,140.8,,25.0,81.8,95.0,138.7,,37.0,120.9,58.7,40.0,
2022-12-28,119.1,,50.9,49.9,,98.9,18.0,,71.8,,,,63.0,59.4,,49.0,,,40.2,41.0,,,48.7,21.0,58.7,52.6,126.5,72.0,82.1,48.3,,101.4,157.8,,137.8,,,,,150.8,,20.8,102.5,89.6,181.8,,39.6,124.2,60.1,,
2022-12-29,107.5,,47.0,49.0,108.0,91.3,25.0,,65.4,,,,64.3,61.6,,,,,43.2,41.3,76.0,,54.4,18.0,49.2,52.9,131.6,62.0,81.4,55.5,,,172.1,,151.0,,,,,177.6,,,102.6,90.0,211.6,,40.0,122.2,63.6,88.0,
2022-12-30,70.0,,46.9,46.6,100.0,91.5,24.4,,62.6,,,,68.2,67.5,,,,,42.4,45.8,,,50.2,,56.9,64.5,130.0,70.0,68.9,65.9,,80.0,148.9,90.0,154.7,120.0,,25.0,,138.8,,22.0,97.2,94.5,214.9,,34.3,126.8,57.0,53.7,
2022-12-31,109.1,,44.9,53.7,74.4,93.3,21.6,,52.0,,,,79.8,77.4,,,,,40.6,45.2,45.0,35.8,38.2,27.0,64.4,58.1,102.2,65.6,65.3,62.3,,106.2,151.4,,156.0,130.0,,,,180.9,,,92.1,110.0,212.2,,40.0,125.2,56.6,60.0,50.0
2023-01-01,71.8,,41.5,37.2,94.0,77.8,22.0,,50.0,,,,69.1,81.2,,68.0,,,37.8,42.5,45.0,,43.0,22.0,58.0,57.7,128.3,,71.2,53.4,,70.0,149.4,,153.4,,,85.0,,150.6,,,92.9,105.4,180.9,,40.0,125.7,50.4,73.4,
