date,product_name,mid_price,avg_price,volume
2022-10-01,FA1 黃秋葵,59.0,58.1,260.0
2022-10-02,FA1 黃秋葵,54.5,52.5,395.0
2022-10-04,FA1 黃秋葵,51.6,50.9,610.0
2022-10-05,FA1 黃秋葵,48.8,46.5,310.0
2022-10-06,FA1 黃秋葵,41.1,42.7,386.0
2022-10-07,FA1 黃秋葵,45.2,44.1,257.0
2022-10-08,FA1 黃秋葵,42.4,45.5,378.0
2022-10-09,FA1 黃秋葵,38.2,43.3,412.0
2022-10-11,FA1 黃秋葵,44.0,44.5,549.0
2022-10-12,FA1 黃秋葵,48.6,48.8,197.0
2022-10-13,FA1 黃秋葵,37.1,42.3,229.0
2022-10-14,FA1 黃秋葵,51.9,56.8,216.0
2022-10-15,FA1 黃秋葵,55.5,59.9,263.0
2022-10-16,FA1 黃秋葵,49.2,52.7,260.0
2022-10-18,FA1 黃秋葵,43.9,48.0,451.0
2022-10-19,FA1 黃秋葵,55.5,57.6,262.0
2022-10-21,FA1 黃秋葵,47.4,51.6,311.0
2022-10-22,FA1 黃秋葵,51.1,53.8,246.0
2022-10-23,FA1 黃秋葵,42.1,47.8,305.0
2022-10-25,FA1 黃秋葵,61.5,62.9,366.0
2022-10-26,FA1 黃秋葵,63.4,63.5,171.0
2022-10-27,FA1 黃秋葵,55.0,58.0,185.0
2022-10-28,FA1 黃秋葵,56.3,65.4,159.0
2022-10-29,FA1 黃秋葵,55.2,61.8,161.0
2022-10-30,FA1 黃秋葵,47.3,51.9,293.0
2022-11-01,FA1 黃秋葵,48.4,52.4,508.0
2022-11-02,FA1 黃秋葵,56.8,57.2,189.0
2022-11-03,FA1 黃秋葵,54.2,55.7,130.0
2022-11-04,FA1 黃秋葵,52.2,58.7,191.0
2022-11-05,FA1 黃秋葵,51.9,58.5,188.0
2022-11-06,FA1 黃秋葵,52.0,57.7,202.0
2022-11-08,FA1 黃秋葵,55.9,57.4,388.0
2022-11-09,FA1 黃秋葵,40.0,42.5,315.0
2022-11-10,FA1 黃秋葵,38.3,40.0,244.0
2022-11-11,FA1 黃秋葵,37.0,36.9,235.0
2022-11-12,FA1 黃秋葵,37.0,41.8,224.0
2022-11-13,FA1 黃秋葵,38.2,37.8,409.0
2022-11-15,FA1 黃秋葵,9.9,16.7,1076.0
2022-11-16,FA1 黃秋葵,24.6,27.9,235.0
2022-11-18,FA1 黃秋葵,13.0,20.9,621.0
2022-11-19,FA1 黃秋葵,13.5,18.8,264.0
2022-11-20,FA1 黃秋葵,22.2,28.4,275.0
2022-11-22,FA1 黃秋葵,34.6,36.3,290.0
2022-11-23,FA1 黃秋葵,15.9,18.5,236.0
2022-11-24,FA1 黃秋葵,18.2,22.2,226.0
2022-11-25,FA1 黃秋葵,41.9,38.6,80.0
2022-11-26,FA1 黃秋葵,46.6,46.8,98.0
2022-11-27,FA1 黃秋葵,60.1,57.0,174.0
2022-11-29,FA1 黃秋葵,13.8,22.2,554.0
2022-11-30,FA1 黃秋葵,27.4,33.3,176.0
2022-12-01,FA1 黃秋葵,56.8,58.8,92.0
2022-12-02,FA1 黃秋葵,41.7,48.3,104.0
2022-12-03,FA1 黃秋葵,29.5,35.5,306.0
2022-12-04,FA1 黃秋葵,50.2,50.4,106.0
2022-12-06,FA1 黃秋葵,29.0,34.6,288.0
2022-12-07,FA1 黃秋葵,26.0,32.9,259.0
2022-12-08,FA1 黃秋葵,82.5,77.0,42.0
2022-12-09,FA1 黃秋葵,22.0,27.4,345.0
2022-12-10,FA1 黃秋葵,26.0,36.0,282.0
2022-12-11,FA1 黃秋葵,63.4,64.8,61.0
2022-12-13,FA1 黃秋葵,30.9,39.7,401.0
2022-12-14,FA1 黃秋葵,25.0,29.8,197.0
2022-12-16,FA1 黃秋葵,38.2,49.2,246.0
2022-12-17,FA1 黃秋葵,30.5,48.6,115.0
2022-12-18,FA1 黃秋葵,55.2,63.6,154.0
2022-12-20,FA1 黃秋葵,107.0,107.3,30.0
2022-12-21,FA1 黃秋葵,107.9,113.7,35.0
2022-12-22,FA1 黃秋葵,93.8,96.2,38.0
2022-12-23,FA1 黃秋葵,45.0,45.0,10.0
2022-12-24,FA1 黃秋葵,121.4,119.3,30.0
2022-12-25,FA1 黃秋葵,127.7,122.6,25.0
2022-12-27,FA1 黃秋葵,96.3,100.6,34.0
2022-12-28,FA1 黃秋葵,118.5,119.1,11.0
2022-12-29,FA1 黃秋葵,122.5,107.5,8.0
2022-12-30,FA1 黃秋葵,70.0,70.0,10.0
2022-12-31,FA1 黃秋葵,111.8,109.1,11.0
2023-01-01,FA1 黃秋葵,72.3,71.8,42.0
2023-01-03,FA1 黃秋葵,93.3,88.0,10.0
2023-01-04,FA1 黃秋葵,70.0,70.0,10.0
2023-01-06,FA1 黃秋葵,40.0,40.0,4.0
2023-01-07,FA1 黃秋葵,30.0,30.0,3.0
2023-01-08,FA1 黃秋葵,50.0,50.0,3.0
2023-01-12,FA1 黃秋葵,195.9,195.6,9.0
2023-01-13,FA1 黃秋葵,202.5,202.5,16.0
2023-01-14,FA1 黃秋葵,193.3,190.0,12.0
2023-01-15,FA1 黃秋葵,181.2,165.7,23.0
2023-01-17,FA1 黃秋葵,188.0,188.4,19.0
2023-01-18,FA1 黃秋葵,106.9,118.7,35.0
2023-01-19,FA1 黃秋葵,180.0,184.2,24.0
2023-01-20,FA1 黃秋葵,173.2,173.9,41.0
2023-01-21,FA1 黃秋葵,68.6,72.2,21.0
2023-01-27,FA1 黃秋葵,34.5,40.6,186.0
2023-01-28,FA1 黃秋葵,20.0,33.3,93.0
2023-01-29,FA1 黃秋葵,55.3,60.0,97.0
2023-01-31,FA1 黃秋葵,134.0,133.4,25.0
2023-02-01,FA1 黃秋葵,59.0,61.5,86.0
2023-02-02,FA1 黃秋葵,63.5,67.2,67.0
2023-02-03,FA1 黃秋葵,67.1,69.6,87.0
2023-02-04,FA1 黃秋葵,58.9,69.1,69.0
2023-02-05,FA1 黃秋葵,42.7,53.6,44.0
2023-02-08,FA1 黃秋葵,40.0,41.8,91.0
2023-02-10,FA1 黃秋葵,50.0,50.0,52.0
2023-02-11,FA1 黃秋葵,46.3,65.2,61.0
2023-02-12,FA1 黃秋葵,85.0,87.0,79.0
2023-02-14,FA1 黃秋葵,78.5,84.1,85.0
2023-02-15,FA1 黃秋葵,114.6,103.3,44.0
2023-02-16,FA1 黃秋葵,60.4,71.2,37.0
2023-02-17,FA1 黃秋葵,140.0,140.0,10.0
2023-02-19,FA1 黃秋葵,37.2,37.2,49.0
2023-02-21,FA1 黃秋葵,25.0,25.6,40.0
2023-02-22,FA1 黃秋葵,162.2,153.3,15.0
2023-02-23,FA1 黃秋葵,145.0,145.0,10.0
2023-02-24,FA1 黃秋葵,155.0,155.0,10.0
2023-02-26,FA1 黃秋葵,21.0,28.3,26.0
2023-02-28,FA1 黃秋葵,43.3,59.1,33.0
2023-03-01,FA1 黃秋葵,10.0,43.0,25.0
2023-03-04,FA1 黃秋葵,20.0,20.0,3.0
2023-03-10,FA1 黃秋葵,160.0,160.0,3.0
2023-03-14,FA1 黃秋葵,70.0,70.0,10.0
2023-03-15,FA1 黃秋葵,106.7,100.0,7.0
2023-03-17,FA1 黃秋葵,145.1,145.6,19.0
2023-03-18,FA1 黃秋葵,50.0,59.1,85.0
2023-03-19,FA1 黃秋葵,131.9,117.2,21.0
2023-03-21,FA1 黃秋葵,51.7,55.0,90.0
2023-03-22,FA1 黃秋葵,41.8,47.8,93.0
2023-03-23,FA1 黃秋葵,46.7,48.0,25.0
2023-03-24,FA1 黃秋葵,39.1,48.2,125.0
2023-03-25,FA1 黃秋葵,122.1,110.7,15.0
2023-03-26,FA1 黃秋葵,51.8,58.1,109.0
2023-03-28,FA1 黃秋葵,84.4,81.4,84.0
2023-03-29,FA1 黃秋葵,69.2,69.0,77.0
2023-03-30,FA1 黃秋葵,25.0,33.3,30.0
2023-03-31,FA1 黃秋葵,63.4,69.7,84.0
2023-04-01,FA1 黃秋葵,135.0,115.0,25.0
2023-04-02,FA1 黃秋葵,122.4,120.6,48.0
2023-04-03,FA1 黃秋葵,35.0,35.0,5.0
