date,FA1 黃秋葵,FB0 花椰菜 其他,FB1 花椰菜 青梗,FC1 胡瓜 黑刺,FD0 花胡瓜 其他,FD1 花胡瓜,FE1 冬瓜 白皮,FF0 絲瓜 其他,FF1 絲瓜,FF2 絲瓜 角瓜,FF4 絲瓜 長絲瓜,FG0 苦瓜 其他,FG1 苦瓜 白大米,FG2 苦瓜 青大米,FG3 苦瓜 山苦瓜,FG4 苦瓜 翠綠,FH0 扁蒲 其他,FH1 扁蒲 長形,FH3 扁蒲 花蒲,FH4 扁蒲 梨子蒲,FI0 茄子 其他,FI1 茄子 胭脂茄,FI2 茄子 麻荸茄,FI3 茄子 日本種,FJ1 番茄 黑柿,FJ3 番茄 牛番茄,FK0 甜椒 其他,FK3 甜椒 新香,FK4 甜椒 彩色種,FK5 甜椒 青椒,FK6 甜椒 水果彩椒,FL1 豌豆 白花,FL2 豌豆 紅花,FL5 豌豆 豌豆苗,FL6 豌豆 甜豌豆,FL9 豌豆 進口,FM1 菜豆 白色,FM2 菜豆 青色,FM3 菜豆 紅色,FN1 敏豆 白豆,FN3 敏豆 粉豆,FN4 敏豆 翼豆,FN5 敏豆 醜豆,FP1 萊豆 豆莢,FP2 萊豆 豆仁,FP3 鵲豆 肉豆,FQ1 毛豆 豆莢,FQ2 毛豆 豆仁,FR1 青花苔,FR2 青花苔 青花筍,FR9 青花苔 進口
2022-10-01,59.0,,46.3,38.7,60.0,51.5,7.3,15.5,10.7,,,,43.5,31.0,,30.2,,,13.1,18.2,30.0,,34.4,,,49.2,108.2,44.8,32.5,42.8,,,,,,,33.0,59.6,61.8,111.3,,14.4,108.5,,,,,142.9,59.3,55.0,86.5
2022-10-02,54.5,,45.5,34.9,60.0,56.4,7.5,14.2,10.7,,3.0,42.0,42.4,28.9,56.0,30.7,,,13.2,16.8,24.4,,28.9,19.0,,55.3,107.5,50.0,25.6,84.8,,,,,,,,49.5,54.4,100.2,,19.6,99.4,,,,,151.2,93.6,,86.7
2022-10-04,51.6,,42.2,28.4,66.7,57.9,6.2,16.6,12.3,,12.0,,43.5,26.0,52.2,30.0,,13.0,13.6,16.6,25.3,10.0,28.3,,,61.6,123.6,,36.0,71.7,,,,,,200.0,30.0,52.9,50.0,84.7,60.0,15.0,105.5,,,,,154.8,50.0,50.0,95.0
2022-10-05,48.8,,39.6,32.1,71.7,62.3,8.9,14.7,9.6,,,,36.6,23.2,,22.5,,10.5,12.0,14.9,20.0,20.0,29.7,15.0,,65.7,107.2,50.0,39.6,76.9,,,,,,131.7,,58.4,45.4,89.7,,18.7,97.8,,,,,150.0,45.8,,90.0
2022-10-06,41.1,,41.2,28.7,50.0,58.4,7.1,13.4,9.8,,,,42.7,24.8,60.1,22.2,,,12.3,14.1,26.2,,24.4,,,58.9,95.0,,35.9,79.2,,,,,,121.9,20.0,63.0,40.4,76.9,,22.7,82.1,,,,,131.1,42.1,50.0,85.0
2022-10-07,45.2,,45.0,23.1,56.7,56.4,6.9,15.0,11.2,,,,44.4,26.7,48.0,25.9,,10.0,11.8,13.6,22.6,,21.1,10.0,,54.0,50.2,,39.6,53.4,,,,,,,,72.1,40.5,88.3,,26.5,82.2,,,,,150.3,40.9,50.0,83.1
2022-10-08,42.4,,43.0,23.3,45.6,55.1,6.2,17.5,12.4,,,39.7,42.1,24.3,50.0,25.0,,,12.9,14.7,23.2,,29.5,30.0,,47.1,107.8,,33.1,46.2,,,,,,146.9,,62.2,56.0,79.8,,26.1,88.1,,,,,151.6,46.6,,86.7
2022-10-09,38.2,,39.7,25.3,58.3,55.3,6.4,16.4,13.7,,,,34.6,24.4,45.0,19.0,,12.0,11.2,13.0,27.2,13.0,20.9,18.0,,50.1,99.2,,20.2,60.0,,,,,,48.1,,64.2,60.3,83.4,,30.0,85.2,,,,,157.9,39.6,,87.5
2022-10-11,44.0,,35.7,21.9,48.9,53.8,5.7,16.2,13.3,,,,40.5,26.1,54.1,22.9,,,10.6,14.7,23.4,,22.0,,,58.6,110.8,49.0,39.8,36.3,,,,,,33.8,,77.1,53.1,81.7,,20.6,83.7,,,,,158.5,31.8,,83.6
2022-10-12,48.6,,34.6,23.0,51.6,56.6,4.3,15.6,12.7,,,,37.8,23.9,60.0,22.2,,10.0,10.8,13.2,36.1,,19.3,20.0,,56.3,103.0,,65.8,75.3,,,,,,51.3,,83.9,45.0,72.2,,25.3,73.1,,,,,155.0,42.1,,80.0
2022-10-13,37.1,,36.0,26.7,65.3,58.9,7.0,16.1,13.6,,,,39.7,27.9,55.8,26.0,,,11.5,16.0,28.1,15.0,18.5,25.0,,52.5,91.7,31.1,61.5,80.2,,,,,,,,88.2,45.0,93.3,,24.7,83.1,,,,,155.8,44.2,,80.3
2022-10-14,51.9,,34.0,27.0,67.1,58.9,5.7,18.6,11.8,,,,41.3,28.7,42.5,27.7,,10.0,9.8,13.0,21.8,,19.1,27.7,,49.8,106.3,,45.8,73.1,,,,,,,,71.5,40.0,108.5,,30.9,95.6,,,,,155.0,71.1,,80.6
2022-10-15,55.5,,35.8,26.2,64.3,60.9,5.3,19.6,14.3,,,34.9,40.8,26.2,50.0,26.0,,,13.1,17.4,23.2,,19.1,,,47.9,100.9,29.3,30.2,63.1,,,,,,,,85.2,32.1,135.9,,26.8,71.6,,,,,153.7,65.6,,73.2
2022-10-16,49.2,,33.5,26.0,50.4,53.1,5.1,15.0,14.9,,,,42.0,23.5,,20.2,,12.0,14.3,16.2,32.6,10.8,16.7,9.2,12.0,45.3,63.7,31.0,39.8,57.1,,,,,,,,63.7,40.5,113.2,,18.0,72.2,,,,33.4,150.6,58.8,,68.2
2022-10-18,43.9,,36.2,25.5,50.4,49.7,6.8,15.1,14.3,,,20.0,40.1,27.8,48.1,22.2,,12.0,13.3,14.4,32.0,,24.7,20.0,77.1,48.4,110.0,,39.8,52.7,,,,,,108.5,,67.9,47.2,102.0,,22.5,66.2,,,,,104.6,62.7,,72.0
2022-10-19,55.5,,39.1,26.8,45.5,50.4,5.8,15.8,17.1,,,,45.5,28.9,50.0,24.5,,10.0,13.3,17.2,25.0,15.0,22.0,23.0,80.5,58.7,86.5,,40.8,64.0,,,30.0,,,100.0,,70.6,50.0,116.6,,22.0,71.6,,,,52.0,153.6,77.3,,95.0
2022-10-21,47.4,,42.1,33.2,56.0,55.3,8.0,24.6,17.5,,,26.3,40.3,25.7,,17.7,,10.0,12.9,15.7,22.2,,18.1,21.1,91.4,63.6,120.5,25.0,67.3,50.7,,,80.0,,,,,70.2,50.0,130.7,,31.0,100.9,,100.0,,37.5,146.1,61.9,,93.7
2022-10-22,51.1,,51.7,31.6,52.3,67.0,7.9,31.0,20.6,,,,49.3,30.2,50.0,26.2,,,16.0,16.7,25.0,12.0,17.4,,69.4,69.0,127.9,34.8,43.8,53.5,,,,,,,,71.5,30.0,129.0,,30.3,107.8,,,,36.9,153.5,58.8,95.0,88.0
