date,FA1 黃秋葵,FB0 花椰菜 其他,FB1 花椰菜 青梗,FC1 胡瓜 黑刺,FD0 花胡瓜 其他,FD1 花胡瓜,FE1 冬瓜 白皮,FF0 絲瓜 其他,FF1 絲瓜,FF2 絲瓜 角瓜,FF4 絲瓜 長絲瓜,FG0 苦瓜 其他,FG1 苦瓜 白大米,FG2 苦瓜 青大米,FG3 苦瓜 山苦瓜,FG4 苦瓜 翠綠,FH0 扁蒲 其他,FH1 扁蒲 長形,FH3 扁蒲 花蒲,FH4 扁蒲 梨子蒲,FI0 茄子 其他,FI1 茄子 胭脂茄,FI2 茄子 麻荸茄,FI3 茄子 日本種,FJ1 番茄 黑柿,FJ3 番茄 牛番茄,FK0 甜椒 其他,FK3 甜椒 新香,FK4 甜椒 彩色種,FK5 甜椒 青椒,FK6 甜椒 水果彩椒,FL1 豌豆 白花,FL2 豌豆 紅花,FL5 豌豆 豌豆苗,FL6 豌豆 甜豌豆,FL9 豌豆 進口,FM1 菜豆 白色,FM2 菜豆 青色,FM3 菜豆 紅色,FN1 敏豆 白豆,FN3 敏豆 粉豆,FN4 敏豆 翼豆,FN5 敏豆 醜豆,FP1 萊豆 豆莢,FP2 萊豆 豆仁,FP3 鵲豆 肉豆,FQ1 毛豆 豆莢,FQ2 毛豆 豆仁,FR1 青花苔,FR2 青花苔 青花筍,FR9 青花苔 進口
2022-10-01,260.0,,2603.0,1021.0,150.0,3703.0,2387.0,1040.0,6819.0,,,,1556.0,1465.0,,56.0,,,2020.0,935.0,113.0,,2653.0,,,3080.0,131.0,40.0,1327.0,584.0,,,,,,,34.0,596.0,87.0,873.0,,400.0,396.0,,,,,116.0,57.0,22.0,1740.0
2022-10-02,395.0,,3361.0,1376.0,165.0,2636.0,3176.0,1279.0,7332.0,,40.0,60.0,1967.0,1796.0,28.0,161.0,,,1716.0,1125.0,208.0,,3017.0,44.0,,3701.0,108.0,25.0,830.0,368.0,,,,,,,,567.0,103.0,925.0,,268.0,173.0,,,,,98.0,60.0,,1749.0
2022-10-04,610.0,,4740.0,1866.0,120.0,4170.0,2562.0,1452.0,6675.0,,69.0,,2486.0,2113.0,30.0,162.0,,80.0,2558.0,2076.0,230.0,108.0,2861.0,,,2450.0,96.0,,1050.0,387.0,,,,,,128.0,33.0,642.0,132.0,1225.0,45.0,395.0,445.0,,,,,98.0,136.0,100.0,1000.0
2022-10-05,310.0,,2773.0,930.0,75.0,1911.0,3013.0,881.0,4645.0,,,,1966.0,1652.0,,157.0,,60.0,1740.0,1294.0,117.0,60.0,3425.0,19.0,,4650.0,96.0,20.0,680.0,175.0,,,,,,240.0,,397.0,88.0,943.0,,266.0,219.0,,,,,86.0,39.0,,986.0
2022-10-06,386.0,,2218.0,1350.0,135.0,2906.0,2340.0,1116.0,3442.0,,,,1137.0,1030.0,41.0,130.0,,,1482.0,1357.0,91.0,,2115.0,,,3900.0,50.0,,1010.0,474.0,,,,,,236.0,12.0,254.0,80.0,882.0,,218.0,249.0,,,,,86.0,73.0,100.0,1100.0
2022-10-07,257.0,,1805.0,2050.0,75.0,2768.0,2865.0,573.0,2507.0,,,,1585.0,1124.0,10.0,153.0,,20.0,1426.0,1509.0,186.0,,3108.0,21.0,,3852.0,70.0,,456.0,860.0,,,,,,,,271.0,89.0,918.0,,178.0,265.0,,,,,108.0,62.0,22.0,1665.0
2022-10-08,378.0,,3290.0,1105.0,120.0,3239.0,3063.0,845.0,3055.0,,,79.0,1681.0,1493.0,10.0,147.0,,,1878.0,1388.0,158.0,,2191.0,8.0,,6020.0,150.0,,1110.0,755.0,,,,,,76.0,,148.0,107.0,916.0,,386.0,414.0,,,,,108.0,219.0,,1930.0
2022-10-09,412.0,,3883.0,1495.0,105.0,3322.0,3414.0,1008.0,2554.0,,,,2088.0,1526.0,10.0,416.0,,19.0,2144.0,1477.0,56.0,234.0,3490.0,22.0,,3260.0,148.0,,790.0,801.0,,,,,,84.0,,290.0,89.0,792.0,,304.0,428.0,,,,,108.0,195.0,,1928.0
2022-10-11,549.0,,6505.0,1434.0,210.0,4740.0,2346.0,1325.0,4563.0,,,,1907.0,1637.0,49.0,163.0,,,2578.0,2272.0,114.0,,3022.0,,,4340.0,102.0,30.0,500.0,328.0,,,,,,16.0,,363.0,112.0,629.0,,481.0,422.0,,,,,96.0,546.0,,1951.0
2022-10-12,197.0,,4424.0,1240.0,165.0,1954.0,2262.0,379.0,2526.0,,,,844.0,1356.0,62.0,56.0,,20.0,1006.0,1162.0,60.0,,4303.0,32.0,,5015.0,130.0,,466.0,421.0,,,,,,48.0,,62.0,46.0,723.0,,102.0,312.0,,,,,96.0,191.0,,1874.0
